1065304	403177	301255	0	86380	0	0	0	55	13281	0	26	0	4961	0	0	0	0	0	0	69	13628	0	14	0	4989	0	0	0	0	0	0	127	29531	0	42	0	11294	0	0	0	0	0	0	146	30591	0	35	0	11437	0	0	0	0	0	0	154565	549149	0	17271	0	194883	0	0	0	0	0	0
1131443	239719	420932	0	65868	0	0	0	12006	277	0	4408	0	44	0	0	0	0	0	0	11775	252	0	4339	0	51	0	0	0	0	0	0	23812	551	0	8910	0	115	0	0	0	0	0	0	22625	542	0	8439	0	108	0	0	0	0	0	0	251916	139318	0	84898	0	16030	0	0	0	0	0	0
286622	96985	56118	0	14306	0	0	0	17	2988	0	5	0	1056	0	0	0	0	0	0	29	2977	0	5	0	988	0	0	0	0	0	0	44	6018	0	10	0	2024	0	0	0	0	0	0	61	5827	0	11	0	2019	0	0	0	0	0	0	31562	70891	0	3307	0	22145	0	0	0	0	0	0
586472	199096	88872	0	22648	0	0	0	8	1959	0	2	0	659	0	0	0	0	0	0	8	1811	0	1	0	608	0	0	0	0	0	0	37	3466	0	3	0	1172	0	0	0	0	0	0	18	3123	0	5	0	1024	0	0	0	0	0	0	55759	32921	0	5684	0	8509	0	0	0	0	0	0
423641	146936	89295	0	23202	0	0	0	24	4711	0	2	0	1607	0	0	0	0	0	0	20	4610	0	6	0	1638	0	0	0	0	0	0	48	9647	0	6	0	3342	0	0	0	0	0	0	56	9619	0	14	0	3367	0	0	0	0	0	0	49093	119474	0	5187	0	38361	0	0	0	0	0	0
177126	52673	65748	0	14672	0	0	0	1787	10	0	651	0	5	0	0	0	0	0	0	1886	8	0	666	0	1	0	0	0	0	0	0	4172	25	0	1514	0	6	0	0	0	0	0	0	4400	23	0	1559	0	6	0	0	0	0	0	0	97897	26509	0	33895	0	2941	0	0	0	0	0	0
272009	95931	49017	0	12650	0	0	0	15	2419	0	4	0	871	0	0	0	0	0	0	21	2405	0	4	0	850	0	0	0	0	0	0	31	4801	0	5	0	1690	0	0	0	0	0	0	36	4324	0	6	0	1599	0	0	0	0	0	0	29054	44573	0	3042	0	14165	0	0	0	0	0	0
78139	27478	26966	0	7540	0	0	0	279	0	0	114	0	2	0	0	0	0	0	0	299	3	0	94	0	0	0	0	0	0	0	0	743	1	0	240	0	1	0	0	0	0	0	0	835	1	0	263	0	2	0	0	0	0	0	0	55977	10960	0	18029	0	1138	0	0	0	0	0	0
78020	24068	19376	0	4560	0	0	0	1	585	0	1	0	182	0	0	0	0	0	0	5	673	0	2	0	177	0	0	0	0	0	0	7	1454	0	3	0	442	0	0	0	0	0	0	13	1529	0	2	0	499	0	0	0	0	0	0	9103	37097	0	893	0	10981	0	0	0	0	0	0
397062	179230	146510	0	46719	0	0	0	335	33	0	122	0	19	0	0	0	0	0	0	364	41	0	122	0	14	0	0	0	0	0	0	744	99	0	277	0	45	0	0	0	0	0	0	736	73	0	285	0	33	0	0	0	0	0	0	179775	68078	0	53122	0	11285	0	0	0	0	0	0
