0.26 0.54 0.2
0.25 0.54 0.21
0.19 0.58 0.23
0.2 0.55 0.25
0.2 0.58 0.22
0.21 0.61 0.18
0.21 0.57 0.22
0.19 0.62 0.19
0.13 0.64 0.23
0.2 0.64 0.16
0.19 0.51 0.3
0.28 0.62 0.1
0.28 0.62 0.1
0.24 0.67 0.09
0.45 0.49 0.06
0.28 0.62 0.1
0.37 0.57 0.06
0.41 0.52 0.07
0.41 0.52 0.07
0.41 0.52 0.07
0.41 0.52 0.07
0.26 0.63 0.11
0.4 0.54 0.06
0.51 0.42 0.07
0.49 0.45 0.06
0.6 0.36 0.04
0.42 0.5 0.08
0.39 0.53 0.08
0.39 0.53 0.08
0.4 0.51 0.09
0.26 0.58 0.16
0.42 0.51 0.07
0.38 0.53 0.09
0.34 0.54 0.12
0.34 0.52 0.14
0.39 0.52 0.09
0.39 0.52 0.09
0.29 0.54 0.17
0.26 0.56 0.18
0.26 0.56 0.18
0.26 0.56 0.18
0.28 0.55 0.17
0.25 0.58 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.29 0.54 0.17
0.55 0.41 0.04
0.42 0.5 0.08
