AAAASS,inc
199701,355
199702,256
199703,169
199704,69
199705,73
199706,40
199707,50
199708,65
199709,45
199710,24
199711,22
199712,28
199713,17
199714,12
199715,9
199716,0
199717,10
199718,2
199719,12
199720,6
199721,10
199722,15
199723,13
199724,1
199725,1
199726,7
199727,1
199728,0
199729,2
199730,6
199731,4
199732,0
199733,0
199734,0
199735,0
199736,21
199737,9
199738,13
199739,36
199740,27
199741,26
199742,20
199743,24
199744,30
199745,26
199746,9
199747,17
199748,12
199749,11
199750,36
199751,39
199752,37
199801,39
199802,40
199803,98
199804,29
199805,61
199806,91
199807,203
199808,355
199809,243
199810,207
199811,323
199812,298
199813,338
199814,320
199815,188
199816,231
199817,53
199818,21
199819,8
199820,22
199821,7
199822,10
199823,12
199824,28
199825,32
199826,14
199827,26
199828,18
199829,16
199830,6
199831,3
199832,0
199833,0
199834,4
199835,0
199836,0
199837,6
199838,9
199839,30
199840,13
199841,13
199842,20
199843,20
199844,22
199845,21
199846,24
199847,15
199848,35
199849,71
199850,98
199851,93
199852,87
199853,92
199901,136
199902,151
199903,264
199904,254
199905,346
199906,329
199907,592
199908,310
199909,142
199910,119
199911,61
199912,51
199913,44
199914,27
199915,16
199916,0
199917,0
199918,0
199919,2
199920,10
199921,4
199922,2
199923,12
199924,1
199925,0
199926,3
199927,0
199928,0
199929,0
199930,2
199931,2
199932,0
199933,1
199934,9
199935,0
199936,0
199937,10
199938,7
199939,25
199940,19
199941,15
199942,15
199943,24
199944,16
199945,28
199946,2
199947,62
199948,87
199949,304
199950,416
199951,419
199952,370
200001,688
200002,652
200003,455
200004,326
200005,227
200006,105
200007,56
200008,20
200009,10
200010,19
200011,42
200012,6
200013,5
200014,8
200015,0
200016,3
200017,0
200018,67
200019,4
200020,5
200021,7
200022,4
200023,5
200024,2
200025,2
200026,0
200027,2
200028,0
200029,2
200030,0
200031,2
200032,0
200033,0
200034,0
200035,0
200036,2
200037,1
200038,3
200039,10
200040,4
200041,20
200042,23
200043,9
200044,14
200045,32
200046,30
200047,56
200048,45
200049,71
200050,88
200051,81
200052,51
200101,32
200102,90
200103,129
200104,240
200105,311
200106,195
200107,120
200108,57
200109,90
200110,85
200111,118
200112,54
200113,75
200114,50
200115,28
200116,11
200117,25
200118,21
200119,1
200120,0
200121,8
200122,4
200123,3
200124,7
200125,1
200126,0
200127,12
200128,4
200129,0
200130,1
200131,7
200132,0
200133,0
200134,9
200135,0
200136,0
200137,2
200138,4
200139,32
200140,14
200141,31
200142,10
200143,19
200144,11
200145,22
200146,25
200147,34
200148,47
200149,58
200150,50
200151,64
200152,67
200201,76
200202,268
200203,446
200204,503
200205,296
200206,160
200207,70
200208,42
200209,15
200210,21
200211,37
200212,17
200213,14
200214,32
200215,29
200216,15
200217,4
200218,7
200219,5
200220,1
200221,4
200222,28
200223,30
200224,27
200225,16
200226,26
200227,5
200228,3
200229,0
200230,0
200231,0
200232,0
200233,1
200234,1
200235,0
200236,0
200237,1
200238,8
200239,6
200240,5
200241,26
200242,33
200243,19
200244,24
200245,17
200246,7
200247,4
200248,7
200249,47
200250,36
200251,27
200252,6
200301,17
200302,22
200303,39
200304,30
200305,54
200306,38
200307,44
200308,69
200309,101
200310,73
200311,83
200312,63
200313,98
200314,142
200315,18
200316,12
200317,39
200318,3
200319,54
200320,6
200321,12
200322,2
200323,2
200324,0
200325,0
200326,3
200327,0
200328,0
200329,0
200330,0
200331,5
200332,1
200333,0
200334,0
200335,0
200336,2
200337,0
200338,21
200339,65
200340,27
200341,23
200342,69
200343,421
200344,42
200345,63
200346,114
200347,294
200348,523
200349,821
200350,549
200351,430
200352,16
200401,66
200402,74
200403,88
200404,26
200405,17
200406,25
200407,22
200408,4
200409,2
200410,28
200411,25
200412,34
200413,16
200414,13
200415,15
200416,1
200417,2
200418,7
200419,8
200420,5
200421,2
200422,1
200423,1
200424,0
200425,4
200426,9
200427,7
200428,0
200429,0
200430,0
200431,0
200432,0
200433,0
200434,5
200435,4
200436,7
200437,19
200438,20
200439,26
200440,83
200441,37
200442,51
200443,43
200444,23
200445,15
200446,17
200447,21
200448,36
200449,25
200450,50
200451,68
200452,36
200453,56
200501,127
200502,110
200503,224
200504,350
